@relation allSongsAllFieldsRankClassWithDatePOS

@attribute IS_EXPLICIT {TRUE, FALSE}
@attribute WEEK date "yyyy-MM-dd"
@attribute NUM_WORDS real
@attribute NUM_UNIQUE_WORDS real
@attribute MAX_WORD_LENGTH real
@attribute AVG_WORD_LENGTH real
@attribute VERBS_FRQ real
@attribute CONJUNCTIONS_FRQ real
@attribute ADJECTIVES_FRQ real
@attribute PRONOUNS_FRQ real
@attribute NUMBERS_FRQ real
@attribute NOUNS_FRQ real
@attribute TOS_FRQ real
@attribute PREPOSITIONS_FRQ real
@attribute ADVERBS_FRQ real
@attribute INTERJECTIONS_FRQ real
@attribute OTHERS_FRQ real
@attribute FOREIGNS_FRQ real
@attribute INTERROGATIVES_FRQ real
@attribute SONG_RANK_CLASS {1-10, 11-20, 21-30, 31-40, 41-50}

@data
FALSE,"1980-03-15",151,55,8,3,28.476822 real, 1.3245033 real, 3.97351 real, 28.476822 real, 5.298013 real, 5.298013 real, 1.986755 real, 0.66225165 real, 9.271523 real, 4.6357617 real, 8.609271 real, 0.0 real, 1.986755 real, 21-30
TRUE,"2015-10-31",562,199,11,3,17.437723 real, 2.1352313 real, 5.8718863 real, 18.149466 real, 1.7793595 real, 26.690392 real, 0.88967973 real, 10.854093 real, 2.6690392 real, 0.3558719 real, 11.7437725 real, 0.0 real, 1.4234875 real, 1-10
TRUE,"1999-06-12",505,157,8,3,16.831684 real, 2.178218 real, 3.960396 real, 12.277227 real, 5.940594 real, 28.712872 real, 4.356436 real, 11.089108 real, 4.9504952 real, 0.1980198 real, 8.316832 real, 0.0 real, 1.1881188 real, 1-10
FALSE,"2000-11-25",475,162,10,3,17.263159 real, 3.1578948 real, 4.8421054 real, 16.210526 real, 1.6842105 real, 25.263159 real, 2.7368422 real, 12.210526 real, 6.736842 real, 0.6315789 real, 8.210526 real, 0.0 real, 1.0526316 real, 31-40
FALSE,"1996-03-30",231,121,10,3,19.48052 real, 4.7619047 real, 3.4632034 real, 9.95671 real, 0.86580086 real, 23.809525 real, 3.4632034 real, 12.554112 real, 6.926407 real, 0.0 real, 13.419913 real, 0.0 real, 1.2987013 real, 11-20
FALSE,"2004-11-13",344,149,12,4,16.860466 real, 3.488372 real, 4.9418607 real, 9.011628 real, 3.488372 real, 34.59302 real, 0.872093 real, 11.627907 real, 5.8139534 real, 0.0 real, 7.5581393 real, 0.0 real, 1.744186 real, 21-30
FALSE,"1983-07-23",496,168,12,4,19.35484 real, 1.6129032 real, 5.2419353 real, 11.08871 real, 7.459677 real, 25.201612 real, 2.217742 real, 10.4838705 real, 7.459677 real, 1.0080645 real, 7.2580647 real, 0.0 real, 1.6129032 real, 11-20
FALSE,"2001-12-15",2,2,7,6,0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 100.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 21-30
FALSE,"2013-06-22",2,2,7,6,0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 100.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 11-20
TRUE,"2014-04-05",326,164,11,3,24.23313 real, 1.5337423 real, 3.98773 real, 15.030675 real, 1.2269939 real, 21.165644 real, 1.2269939 real, 7.6687117 real, 6.134969 real, 0.9202454 real, 13.803681 real, 0.0 real, 3.0674846 real, 11-20
FALSE,"2013-05-11",1,1,0,0,0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 100.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 11-20
TRUE,"2002-12-28",588,204,11,3,13.77551 real, 6.462585 real, 3.7414966 real, 18.537415 real, 0.5102041 real, 24.319727 real, 1.1904762 real, 13.265306 real, 5.612245 real, 0.34013605 real, 11.22449 real, 0.0 real, 1.0204082 real, 1-10
FALSE,"1982-05-22",320,95,13,4,17.5 real, 3.4375 real, 8.125 real, 16.25 real, 2.5 real, 20.0 real, 1.875 real, 9.6875 real, 8.125 real, 0.0 real, 12.1875 real, 0.0 real, 0.3125 real, 1-10
FALSE,"1985-05-25",480,137,10,3,18.958334 real, 1.4583334 real, 2.5 real, 23.75 real, 0.0 real, 20.625 real, 1.25 real, 8.125 real, 9.375 real, 0.0 real, 11.875 real, 0.0 real, 2.0833333 real, 21-30
FALSE,"1995-10-07",433,120,10,3,30.946882 real, 0.92378753 real, 5.542725 real, 27.713625 real, 0.23094688 real, 8.314088 real, 6.2355657 real, 5.311778 real, 10.39261 real, 0.0 real, 3.0023096 real, 0.0 real, 1.3856813 real, 31-40
FALSE,"1987-12-19",352,122,10,3,25.852272 real, 1.4204545 real, 2.2727273 real, 22.443182 real, 0.5681818 real, 12.784091 real, 4.8295455 real, 10.227273 real, 4.5454545 real, 0.2840909 real, 12.5 real, 0.0 real, 2.2727273 real, 41-50
FALSE,"1990-09-29",271,120,11,3,18.450184 real, 2.9520295 real, 2.2140222 real, 17.712177 real, 0.36900368 real, 19.557196 real, 1.8450185 real, 15.498155 real, 5.535055 real, 1.4760147 real, 14.0221405 real, 0.0 real, 0.36900368 real, 1-10
FALSE,"1991-07-27",18,17,14,5,16.666666 real, 0.0 real, 5.5555553 real, 5.5555553 real, 0.0 real, 27.777779 real, 11.111111 real, 11.111111 real, 5.5555553 real, 0.0 real, 16.666666 real, 0.0 real, 0.0 real, 1-10
FALSE,"1986-12-06",162,49,8,3,26.54321 real, 4.3209877 real, 1.2345679 real, 25.308641 real, 0.0 real, 8.641975 real, 2.4691358 real, 6.7901235 real, 14.814815 real, 1.2345679 real, 3.7037036 real, 0.61728394 real, 4.3209877 real, 11-20
FALSE,"1999-02-27",362,117,28,4,14.088398 real, 3.038674 real, 10.77348 real, 12.154696 real, 0.5524862 real, 19.61326 real, 0.2762431 real, 14.364641 real, 5.2486186 real, 0.5524862 real, 16.298342 real, 0.0 real, 3.038674 real, 1-10
TRUE,"2000-09-16",991,384,12,4,12.613522 real, 3.2290616 real, 5.7517657 real, 9.989909 real, 0.50454086 real, 36.629665 real, 3.8345106 real, 10.49445 real, 5.247225 real, 0.100908175 real, 10.090817 real, 0.0 real, 1.5136226 real, 1-10
FALSE,"1986-03-22",210,100,12,4,23.809525 real, 3.8095238 real, 2.857143 real, 15.238095 real, 3.3333333 real, 17.142857 real, 4.7619047 real, 6.6666665 real, 5.714286 real, 0.0 real, 13.333333 real, 0.0 real, 3.3333333 real, 11-20
TRUE,"1987-05-02",227,93,10,4,14.096916 real, 4.4052863 real, 3.9647577 real, 12.334802 real, 0.0 real, 26.431719 real, 0.88105726 real, 12.334802 real, 3.524229 real, 0.88105726 real, 19.823788 real, 0.0 real, 1.3215859 real, 1-10
TRUE,"1993-11-20",726,332,20,4,17.768595 real, 2.2038567 real, 5.5096416 real, 13.0854 real, 0.41322315 real, 29.752066 real, 0.8264463 real, 9.917356 real, 5.23416 real, 0.0 real, 12.672176 real, 0.0 real, 2.61708 real, 31-40
FALSE,"1987-11-28",235,107,10,3,17.446808 real, 2.5531914 real, 2.9787233 real, 17.021276 real, 0.85106385 real, 18.723404 real, 2.9787233 real, 11.914893 real, 11.063829 real, 0.0 real, 13.191489 real, 0.0 real, 1.2765957 real, 1-10
FALSE,"1987-12-26",234,109,10,3,17.521368 real, 2.5641026 real, 4.2735043 real, 16.666666 real, 0.85470086 real, 19.23077 real, 2.991453 real, 11.965812 real, 10.256411 real, 0.0 real, 12.820513 real, 0.0 real, 0.85470086 real, 21-30
FALSE,"2010-12-18",440,115,11,3,15.227273 real, 2.9545455 real, 2.2727273 real, 16.818182 real, 0.45454547 real, 25.0 real, 2.9545455 real, 11.363636 real, 8.636364 real, 0.0 real, 13.863636 real, 0.0 real, 0.45454547 real, 31-40
FALSE,"1991-06-01",294,104,10,3,27.55102 real, 1.7006803 real, 4.7619047 real, 14.285714 real, 0.34013605 real, 14.285714 real, 5.442177 real, 9.863946 real, 7.142857 real, 0.34013605 real, 13.945579 real, 0.0 real, 0.34013605 real, 31-40
FALSE,"1989-12-02",402,87,11,3,15.422886 real, 1.2437811 real, 2.238806 real, 25.870647 real, 0.24875621 real, 19.402985 real, 0.49751243 real, 13.930348 real, 7.4626865 real, 0.0 real, 13.432836 real, 0.0 real, 0.24875621 real, 1-10
FALSE,"2011-05-28",276,105,11,4,14.855072 real, 6.521739 real, 9.057971 real, 13.768116 real, 0.7246377 real, 21.73913 real, 0.7246377 real, 9.057971 real, 6.521739 real, 1.8115942 real, 13.768116 real, 0.0 real, 1.4492754 real, 31-40
FALSE,"1980-12-27",229,81,9,4,22.707424 real, 5.240175 real, 7.4235806 real, 10.91703 real, 0.0 real, 14.847161 real, 2.183406 real, 9.606987 real, 15.720524 real, 0.0 real, 9.606987 real, 0.0 real, 1.7467248 real, 1-10
FALSE,"1983-08-20",207,79,12,5,30.917875 real, 3.8647344 real, 9.178744 real, 0.4830918 real, 0.0 real, 25.120773 real, 2.8985507 real, 12.077294 real, 4.347826 real, 0.0 real, 10.628019 real, 0.0 real, 0.4830918 real, 1-10
FALSE,"2012-08-18",196,82,9,3,19.387754 real, 3.0612245 real, 5.102041 real, 18.87755 real, 0.0 real, 19.897959 real, 2.0408163 real, 10.714286 real, 4.591837 real, 0.0 real, 15.306123 real, 0.5102041 real, 0.5102041 real, 31-40
FALSE,"1994-02-26",157,50,8,3,15.286624 real, 5.732484 real, 5.0955415 real, 18.471338 real, 0.0 real, 24.840765 real, 0.6369427 real, 8.280254 real, 10.828026 real, 0.6369427 real, 9.55414 real, 0.0 real, 0.6369427 real, 31-40
FALSE,"1994-06-11",128,48,12,4,8.59375 real, 0.0 real, 6.25 real, 1.5625 real, 0.78125 real, 41.40625 real, 0.0 real, 11.71875 real, 7.8125 real, 0.0 real, 20.3125 real, 0.0 real, 1.5625 real, 31-40
FALSE,"1982-04-17",154,79,8,4,24.025974 real, 1.2987013 real, 6.4935064 real, 13.636364 real, 0.0 real, 16.233767 real, 1.9480519 real, 9.090909 real, 17.532467 real, 0.64935064 real, 8.441559 real, 0.0 real, 0.64935064 real, 11-20
FALSE,"1984-12-15",168,50,9,3,7.142857 real, 0.5952381 real, 3.5714285 real, 3.5714285 real, 4.7619047 real, 31.547619 real, 1.1904762 real, 23.809525 real, 5.952381 real, 0.0 real, 13.095238 real, 0.0 real, 4.7619047 real, 31-40
FALSE,"1983-10-01",323,147,20,3,13.931889 real, 4.643963 real, 8.049536 real, 12.074304 real, 1.2383901 real, 26.006191 real, 1.8575852 real, 8.668731 real, 6.1919503 real, 1.5479876 real, 13.931889 real, 0.61919504 real, 1.2383901 real, 1-10
FALSE,"1994-07-02",222,97,10,3,18.918919 real, 1.3513514 real, 6.756757 real, 18.468468 real, 0.45045045 real, 21.621622 real, 1.8018018 real, 9.459459 real, 7.6576576 real, 0.0 real, 11.711712 real, 0.0 real, 1.8018018 real, 41-50
FALSE,"1988-03-26",169,74,11,4,14.201183 real, 0.591716 real, 1.183432 real, 7.1005917 real, 1.7751479 real, 33.72781 real, 1.7751479 real, 14.201183 real, 8.284023 real, 0.0 real, 15.976332 real, 0.0 real, 1.183432 real, 11-20
FALSE,"2003-12-13",286,74,10,4,19.58042 real, 2.7972028 real, 12.587413 real, 5.5944057 real, 0.0 real, 18.881119 real, 6.643357 real, 9.440559 real, 5.5944057 real, 1.3986014 real, 16.433567 real, 0.0 real, 1.048951 real, 21-30
FALSE,"1984-09-29",336,68,8,3,21.72619 real, 1.1904762 real, 0.89285713 real, 13.988095 real, 0.0 real, 19.642857 real, 1.1904762 real, 19.047619 real, 1.7857143 real, 0.0 real, 12.202381 real, 0.0 real, 8.333333 real, 31-40
TRUE,"2006-09-09",809,158,9,3,22.62052 real, 1.7305316 real, 2.472188 real, 22.867739 real, 0.37082818 real, 13.844253 real, 2.3485785 real, 7.911001 real, 6.674907 real, 0.49443758 real, 14.833127 real, 0.0 real, 3.8318913 real, 1-10
FALSE,"1999-11-13",249,75,10,3,15.662651 real, 2.4096386 real, 7.2289157 real, 20.08032 real, 0.40160644 real, 18.875502 real, 2.008032 real, 11.24498 real, 10.04016 real, 0.8032129 real, 10.843373 real, 0.0 real, 0.40160644 real, 1-10
TRUE,"1987-03-07",255,87,10,4,19.607843 real, 3.137255 real, 3.137255 real, 15.686275 real, 1.9607843 real, 28.235294 real, 1.5686275 real, 11.764706 real, 5.098039 real, 0.0 real, 9.803922 real, 0.0 real, 0.0 real, 1-10
FALSE,"2007-05-19",220,98,11,3,25.0 real, 1.8181819 real, 1.3636364 real, 18.181818 real, 0.0 real, 16.818182 real, 3.1818182 real, 10.0 real, 7.7272725 real, 0.45454547 real, 15.0 real, 0.0 real, 0.45454547 real, 21-30
FALSE,"1989-10-07",235,108,10,3,12.3404255 real, 5.5319147 real, 6.808511 real, 15.319149 real, 3.8297873 real, 22.127659 real, 2.1276596 real, 10.212766 real, 8.510638 real, 0.42553192 real, 10.638298 real, 0.0 real, 2.1276596 real, 21-30
FALSE,"1982-12-11",174,68,7,3,20.689655 real, 3.4482758 real, 10.344828 real, 19.54023 real, 0.0 real, 14.942529 real, 2.8735633 real, 5.7471266 real, 16.091953 real, 0.0 real, 3.4482758 real, 0.0 real, 2.8735633 real, 41-50
TRUE,"2014-12-13",449,199,16,4,18.485523 real, 2.4498887 real, 8.240535 real, 12.026726 real, 0.66815144 real, 28.507795 real, 2.6726058 real, 10.690423 real, 4.454343 real, 0.0 real, 10.690423 real, 0.0 real, 1.1135857 real, 41-50
FALSE,"1999-01-30",277,72,10,3,25.270758 real, 1.0830325 real, 2.166065 real, 25.99278 real, 1.8050542 real, 16.606499 real, 2.166065 real, 3.6101084 real, 6.8592057 real, 3.9711192 real, 7.9422383 real, 0.0 real, 2.5270758 real, 1-10
TRUE,"2014-09-20",885,337,20,3,16.38418 real, 2.1468925 real, 7.7966104 real, 12.99435 real, 2.1468925 real, 23.841808 real, 2.59887 real, 11.525424 real, 5.9887004 real, 0.33898306 real, 11.864407 real, 0.0 real, 2.3728814 real, 31-40
FALSE,"2005-04-23",548,103,10,3,20.072992 real, 0.3649635 real, 1.0948905 real, 17.883211 real, 8.941606 real, 18.430656 real, 1.8248175 real, 8.941606 real, 6.3868613 real, 0.18248175 real, 12.043796 real, 0.0 real, 3.8321168 real, 1-10
FALSE,"2005-01-08",477,148,13,3,18.02935 real, 2.5157232 real, 3.144654 real, 16.352201 real, 5.2410903 real, 26.415094 real, 2.3060796 real, 7.1278825 real, 7.3375263 real, 0.2096436 real, 10.062893 real, 0.0 real, 1.2578616 real, 1-10
FALSE,"2007-10-13",177,83,11,3,19.20904 real, 2.259887 real, 5.084746 real, 16.949152 real, 10.169492 real, 18.644068 real, 1.1299435 real, 9.60452 real, 5.6497173 real, 0.0 real, 7.3446326 real, 0.0 real, 3.9548023 real, 1-10
FALSE,"2009-05-23",254,75,8,3,17.322834 real, 1.1811024 real, 7.874016 real, 21.259842 real, 14.960629 real, 10.23622 real, 2.3622048 real, 7.086614 real, 10.23622 real, 0.0 real, 4.3307085 real, 0.0 real, 3.1496062 real, 31-40
FALSE,"1996-04-27",188,66,9,4,21.276596 real, 5.319149 real, 4.255319 real, 11.702127 real, 0.0 real, 22.872341 real, 4.787234 real, 10.106383 real, 5.319149 real, 0.0 real, 14.361702 real, 0.0 real, 0.0 real, 1-10
FALSE,"1988-08-20",229,91,9,3,21.83406 real, 3.4934497 real, 5.240175 real, 19.650656 real, 2.6200874 real, 20.524017 real, 0.4366812 real, 12.227075 real, 7.4235806 real, 0.0 real, 5.240175 real, 0.0 real, 1.3100437 real, 1-10
FALSE,"1984-07-21",198,85,8,3,18.686869 real, 0.5050505 real, 4.040404 real, 11.616161 real, 1.5151515 real, 18.686869 real, 3.030303 real, 12.626263 real, 9.090909 real, 0.0 real, 17.171717 real, 0.0 real, 3.030303 real, 31-40
FALSE,"2004-05-22",253,104,8,3,13.438735 real, 3.9525692 real, 4.743083 real, 7.5098815 real, 7.1146245 real, 22.134388 real, 4.743083 real, 12.648221 real, 7.5098815 real, 0.0 real, 14.229249 real, 0.0 real, 1.9762846 real, 21-30
FALSE,"1994-10-08",302,95,9,3,17.880795 real, 3.3112583 real, 2.6490066 real, 14.238411 real, 0.33112583 real, 22.18543 real, 4.3046355 real, 10.2649 real, 13.245033 real, 0.0 real, 10.596026 real, 0.0 real, 0.9933775 real, 11-20
TRUE,"1999-12-18",608,140,10,3,27.631578 real, 6.4144735 real, 1.4802631 real, 14.638158 real, 2.4671052 real, 15.460526 real, 2.7960527 real, 7.894737 real, 9.375 real, 0.32894737 real, 11.184211 real, 0.0 real, 0.49342105 real, 21-30
FALSE,"1989-09-23",292,112,11,3,21.232876 real, 10.2739725 real, 2.0547945 real, 13.69863 real, 6.849315 real, 22.945206 real, 3.0821917 real, 5.1369863 real, 6.1643834 real, 0.6849315 real, 7.5342464 real, 0.0 real, 0.34246576 real, 1-10
FALSE,"2003-01-18",286,137,17,4,16.783216 real, 6.643357 real, 6.2937064 real, 12.937063 real, 5.2447553 real, 27.622377 real, 0.0 real, 7.6923075 real, 3.4965036 real, 2.097902 real, 10.839161 real, 0.0 real, 0.34965035 real, 21-30
TRUE,"2014-04-19",185,99,10,4,18.918919 real, 1.6216216 real, 5.9459457 real, 15.675675 real, 1.6216216 real, 24.324324 real, 2.7027028 real, 9.72973 real, 7.5675673 real, 0.0 real, 9.189189 real, 0.0 real, 2.7027028 real, 41-50
TRUE,"1995-09-09",1343,313,12,3,18.54058 real, 3.7974684 real, 5.435592 real, 9.23306 real, 0.5956813 real, 22.486969 real, 3.4251676 real, 13.179449 real, 7.594937 real, 0.22338049 real, 14.892033 real, 0.07446016 real, 0.5956813 real, 11-20
FALSE,"1997-09-06",324,95,8,3,25.0 real, 2.1604939 real, 7.4074073 real, 14.197531 real, 1.8518518 real, 20.37037 real, 4.012346 real, 6.7901235 real, 8.024692 real, 0.61728394 real, 8.333333 real, 0.0 real, 1.2345679 real, 1-10
FALSE,"1992-01-11",404,202,14,3,20.544554 real, 4.9504952 real, 7.178218 real, 15.0990095 real, 0.0 real, 20.049505 real, 3.4653466 real, 9.405941 real, 7.178218 real, 0.24752475 real, 10.891089 real, 0.24752475 real, 0.7425743 real, 1-10
TRUE,"2014-08-09",559,168,13,3,23.792486 real, 1.0733453 real, 5.7245083 real, 13.774597 real, 1.2522361 real, 19.856888 real, 2.6833632 real, 10.19678 real, 9.660108 real, 0.35778177 real, 10.37567 real, 0.0 real, 1.2522361 real, 21-30
TRUE,"2012-09-15",443,210,11,3,14.446953 real, 3.6117382 real, 3.6117382 real, 12.641084 real, 1.3544018 real, 27.99097 real, 0.6772009 real, 11.963882 real, 10.158013 real, 0.0 real, 11.963882 real, 0.0 real, 1.5801355 real, 41-50
FALSE,"2007-06-23",547,128,9,3,15.35649 real, 1.4625229 real, 2.559415 real, 13.162705 real, 9.872029 real, 28.153564 real, 0.9140768 real, 5.3016453 real, 14.076782 real, 0.0 real, 8.592321 real, 0.0 real, 0.54844606 real, 21-30
FALSE,"1985-01-26",1,1,0,0,0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 100.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 41-50
FALSE,"2010-10-23",526,166,10,3,15.0190115 real, 1.9011407 real, 4.3726234 real, 13.11787 real, 1.1406844 real, 23.574144 real, 1.3307985 real, 15.39924 real, 8.935361 real, 1.5209125 real, 13.307984 real, 0.0 real, 0.38022813 real, 31-40
FALSE,"2009-10-03",247,107,12,3,16.194332 real, 4.453441 real, 2.0242915 real, 13.7651825 real, 3.2388663 real, 24.696356 real, 2.0242915 real, 15.384615 real, 4.453441 real, 0.0 real, 11.336032 real, 0.0 real, 2.4291499 real, 21-30
TRUE,"2003-05-31",634,198,10,3,22.08202 real, 3.7854888 real, 2.8391168 real, 23.817034 real, 0.9463722 real, 14.984227 real, 4.1009464 real, 9.305994 real, 6.6246057 real, 0.0 real, 10.094637 real, 0.0 real, 1.4195584 real, 1-10
FALSE,"1989-03-25",1,1,0,0,0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 100.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 41-50
FALSE,"1999-12-18",1,1,0,0,0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 100.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 0.0 real, 1-10
FALSE,"1986-09-27",100,61,12,3,18.0 real, 4.0 real, 6.0 real, 6.0 real, 12.0 real, 19.0 real, 10.0 real, 11.0 real, 4.0 real, 0.0 real, 9.0 real, 0.0 real, 1.0 real, 41-50
FALSE,"1991-09-07",172,84,11,4,18.60465 real, 1.744186 real, 5.2325583 real, 8.139535 real, 2.3255813 real, 40.11628 real, 3.488372 real, 7.5581393 real, 1.744186 real, 0.0 real, 11.046512 real, 0.0 real, 0.0 real, 1-10
FALSE,"1998-01-31",343,115,10,3,20.408163 real, 6.9970846 real, 1.7492712 real, 17.784256 real, 3.4985423 real, 18.658892 real, 2.0408163 real, 9.620992 real, 7.580175 real, 0.0 real, 10.204082 real, 0.0 real, 1.457726 real, 31-40
TRUE,"2009-05-16",582,304,13,4,17.869415 real, 3.6082475 real, 4.6391754 real, 13.230241 real, 0.68728524 real, 24.742268 real, 1.5463917 real, 12.199313 real, 6.013746 real, 0.17182131 real, 13.745705 real, 0.0 real, 1.5463917 real, 31-40
FALSE,"2003-06-14",441,149,10,3,19.954649 real, 5.442177 real, 6.3492064 real, 14.285714 real, 0.22675736 real, 22.44898 real, 5.2154193 real, 12.018141 real, 7.482993 real, 0.22675736 real, 5.8956914 real, 0.0 real, 0.45351472 real, 31-40
FALSE,"2008-04-12",406,114,13,3,24.384237 real, 2.2167487 real, 3.4482758 real, 17.980295 real, 3.9408867 real, 16.995073 real, 2.955665 real, 8.866995 real, 5.172414 real, 0.49261084 real, 11.083744 real, 0.0 real, 2.4630542 real, 1-10
FALSE,"1997-10-04",416,144,11,4,17.548077 real, 3.3653846 real, 3.125 real, 14.182693 real, 0.72115386 real, 25.48077 real, 1.6826923 real, 11.298077 real, 5.5288463 real, 0.96153843 real, 11.538462 real, 0.0 real, 4.5673075 real, 1-10
TRUE,"1999-12-18",662,258,13,3,20.543806 real, 2.4169185 real, 3.6253777 real, 16.918428 real, 2.4169185 real, 25.377644 real, 1.3595166 real, 9.969789 real, 4.6827793 real, 0.0 real, 9.667674 real, 0.0 real, 3.021148 real, 21-30
FALSE,"1997-06-21",529,102,11,3,22.306238 real, 1.1342155 real, 6.805293 real, 16.068052 real, 2.268431 real, 14.7448015 real, 5.6710777 real, 2.6465027 real, 8.506617 real, 6.0491495 real, 11.342155 real, 0.0 real, 2.4574668 real, 31-40
TRUE,"1996-04-27",649,252,12,4,16.024652 real, 2.1571648 real, 6.9337444 real, 15.562404 real, 1.0785824 real, 18.798151 real, 2.1571648 real, 15.254237 real, 8.012326 real, 0.0 real, 11.710323 real, 0.0 real, 2.311248 real, 21-30
TRUE,"2011-12-24",506,196,12,3,22.134388 real, 5.7312255 real, 3.5573123 real, 19.16996 real, 1.7786561 real, 15.217391 real, 1.3833992 real, 14.031621 real, 5.3359685 real, 0.0 real, 10.869565 real, 0.0 real, 0.7905138 real, 1-10
FALSE,"2012-08-04",175,91,8,3,21.142857 real, 4.0 real, 9.142858 real, 17.714285 real, 0.5714286 real, 18.285715 real, 0.0 real, 14.285714 real, 5.142857 real, 0.0 real, 9.142858 real, 0.0 real, 0.5714286 real, 31-40
FALSE,"2012-11-03",272,130,10,3,21.32353 real, 2.9411764 real, 5.5147057 real, 14.338235 real, 0.7352941 real, 23.529411 real, 2.2058823 real, 13.235294 real, 2.5735295 real, 0.0 real, 11.764706 real, 0.0 real, 1.8382353 real, 11-20
TRUE,"2011-01-01",784,378,14,4,16.19898 real, 3.5714285 real, 4.336735 real, 14.795918 real, 0.12755102 real, 31.760204 real, 1.0204082 real, 11.479591 real, 4.591837 real, 0.0 real, 11.479591 real, 0.0 real, 0.6377551 real, 1-10
