Song,Actual,TF-IDF,TF-IDF Error,Custom,Custom Err
Kiss You,2013,2013,0,2013,0
Knockin' Boots,1990,1990,0,1990,0
Know Your Enemy,2009,2009,0,2009,0
Krazy,2008,2008,0,2008,0
Kryptonite (I'm On It),2005,2005,0,2005,0
Kyrptonite (I'm On It),2006,2006,0,2005,1
L.A.LOVE (la la),2014,2014,0,2014,0
La Raza,1990,1990,0,1990,0
La Tortura,2005,2005,0,2005,0
Lady Marmalade,2001,2001,0,2001,0
Lambada,1990,1990,0,1990,0
Larger Than Life,1999,1999,0,1999,0
Last Kiss,1999,1999,0,1991,8
Last Night,1996,1996,0,1996,0
Latch,2014,2014,0,2014,0
Lately,1998,1998,0,1998,0
Lay Low,2001,2001,0,1995,6
Lean Back,2004,2004,0,2004,0
Lean Like A Cholo,2007,2007,0,2007,0
Lean Wit It Rock Wit It,2006,2006,0,2006,0
Legend Of A Cowgirl,1997,1997,0,1997,0
Lemme See,2012,2012,0,2012,0
Let It Go,2014,2014,0,2014,0
Let It Go,1997,1997,0,1997,0
Let Me Blow Ya Mind,2001,2001,0,2001,0
Let Me Clear My Throat,1997,1997,0,1997,0
Let Me In,2004,2004,0,2004,0
Let Me Ride,1993,1993,0,1993,0
Let's Get Away,2004,2004,0,2004,0
Let's Get Down,2003,2003,0,2003,0
Let's Get It Started,2004,2004,0,2004,0
Let's Play House,1996,1996,0,1996,0
Let's Ride,1998,1998,0,1998,0
Let's Ride,1998,1998,0,1998,0
Let's Ride,2006,2006,0,2005,1
Liar,2000,2000,0,2000,0
Lifestyle,2014,2014,0,2014,0
Light In Your Eyes,1998,1998,0,1992,6
Light Up The World,2011,2011,0,2010,1
Lighters,2011,2011,0,2011,0
Lighters Up,2005,2005,0,2005,0
Like A G6,2010,2010,0,2010,0
Like A Pimp,2003,2003,0,2003,0
Like Glue,2003,2003,0,2003,0
Lil Freak,2010,2010,0,2010,0
Lips Are Movin',2014,2014,0,2014,0
Liquid Swords,1995,1995,0,1995,0
Little Good-Byes,1999,1999,0,1999,0
Little Man,1999,1999,0,1999,0
Livin' It Up,2001,2001,0,2001,0
Loca,2010,2010,0,2014,4
Lollipop,2008,2008,0,2008,0
Long Time Gone,2002,2002,0,2002,0
Lookin Boy,2008,2008,0,2006,2
Lookin' At Me,1998,1998,0,1997,1
Looking Through Patient Eyes,1993,1993,0,1993,0
Looking Through Your Eyes,1998,1998,0,1980,18
Lose Control,2005,2005,0,2005,0
Lose My Mind,2010,2010,0,2010,0
Lose Yourself,2002,2002,0,2002,0
Loser,1994,1994,0,1994,0
Lost In You,1999,1999,0,1999,0
Lost Without U,2007,2007,0,2007,0
Love At 1st Sight,2003,2003,0,2003,0
Love Gets Me Every Time,1997,1997,0,1997,0
Love Like Crazy,2010,2010,0,2010,0
Love Like This,1998,1998,0,1980,18
Love Me,1998,1998,0,1998,0
Love Me,2013,2013,0,2013,0
Love Me Or Hate Me (F**k You!!!!),2006,2006,0,2004,2
Love You Down,1998,1998,0,1980,18
Love You Down,1998,1998,0,1980,18
Love You Down,1998,1998,0,1980,18
Lucas With The Lid Off,1994,1994,0,1994,0
Luchini aka (This Is It),1997,1997,0,1997,0
Luxurious,2005,2005,0,2005,0
Magic,2010,2010,0,2010,0
Make 'Em Say Uhh!,1998,1998,0,1998,0
Make 'Em Say Uhh!,1998,1998,0,1998,0
Make 'Em Say Uhh!,1998,1998,0,1998,0
Make 'Em Say Uhh!,1998,1998,0,1998,0
Make Her Say,2009,2009,0,2009,0
Make It Clap,2003,2003,0,2003,0
Make Me Proud,2011,2011,0,2011,0
Mama Said Knock You Out,1991,1991,0,1991,0
Man On The Moon,1993,1993,0,1993,0
Man! I Feel Like A Woman!,1999,1999,0,1999,0
Maria Maria,2000,2000,0,2000,0
Marvin Gaye,2015,2015,0,2015,0
Me Against The Music,2003,2003,0,2003,0
Me And My Gang,2006,2006,0,2010,4
Meanwhile,1999,1999,0,1999,0
Mentirosa,1990,1990,0,1990,0
Mercy,2012,2012,0,2012,0
Mercy,2012,2012,0,2012,0
Mesmerize,2003,2003,0,2003,0
Mishale,1995,1995,0,1995,0
Miss Independent,2003,2003,0,2003,0
Miss Me,2010,2010,0,2010,0
Mmm Yeah,2014,2014,0,2014,0
Mmmbop,1997,1997,0,1997,0
Mo Money Mo Problems,1997,1997,0,1997,0
Mo Money Mo Problems,1997,1997,0,1997,0
Moment 4 Life,2011,2011,0,2011,0
Moment 4 Life,2011,2011,0,2011,0
Money Power & Respect,1998,1998,0,1998,0
Money Power & Respect,1998,1998,0,1998,0
Monster,2010,2010,0,2010,0
More Than A Woman,2002,2002,0,2002,0
Most Girls,2000,2000,0,2000,0
Move B***h,2002,2002,0,2002,0
Move That Doh,2014,2014,0,2014,0
Mr. Loverman,1992,1992,0,1992,0
Mr. Mom,2004,2004,0,2004,0
Mr. Personality,1995,1995,0,1995,0
Mr. Saxobeat,2011,2011,0,2011,0
Mr. Wendal,1993,1993,0,1993,0
Ms. New Booty,2006,2006,0,2006,0
My All,1998,1998,0,1998,0
My Baby,2001,2001,0,2001,0
My Baby Daddy,1997,1997,0,1997,0
My Band,2004,2004,0,2004,0
My Chick Bad,2010,2010,0,2010,0
My Favorite Girl,1999,1999,0,2014,15
My Favorite Mistake,1998,1998,0,1980,18
My Heart Is Failing Me,1991,1991,0,1991,0
My Heart Will Go On,1998,1998,0,1980,18
My Humps,2005,2005,0,2005,0
My Little Secret,1998,1998,0,2005,7
My Name Is,1999,1999,0,1999,0
My Name Is Prince,1992,1992,0,1992,0
My Side Of The Bed,1991,1991,0,1991,0
My Way,1998,1998,0,1997,1
Naked Eye,1997,1997,0,1997,0
Nappy Heads,1994,1994,0,1994,0
Need U Bad,2008,2008,0,2008,0
Neighbors Know My Name,2010,2010,0,2010,0
Never Ever,1998,1998,0,1998,0
Never Gonna Let You Go,1999,1999,0,1980,19
Never Scared,2003,2003,0,2003,0
Nice,1998,1998,0,1998,0
Nice & Slow,1998,1998,0,1998,0
No Better Love,2004,2004,0,2004,0
No Diggity,1996,1996,0,1996,0
No Flex Zone,2014,2014,0,2014,0
No Hands,2010,2010,0,2010,0
No Love,2010,2010,0,2010,0
"No More ""I Love You's""",1995,1995,0,1995,0
No More Lies,1990,1990,0,1990,0
No Myth,1990,1990,0,1990,0
No New Friends,2013,2013,0,2013,0
No Pigeons,1999,1999,0,1999,0
No Tengo Dinero,1997,1997,0,1997,0
Nobody Does It Better,1998,1998,0,1998,0
Nobody Else,1998,1998,0,1993,5
Nolia Clap,2004,2004,0,2004,0
Not Tonight,1997,1997,0,1997,0
Not Tonight,1997,1997,0,1997,0
Nothin',2002,2002,0,2002,0
Now That We Found Love,1991,1991,0,1991,0
Number One Spot,2005,2005,0,2005,0
Nuthin' But A 'G' Thang,1993,1993,0,1993,0
OMG,2010,2010,0,2010,0
Obsession (No Es Amor),2005,2005,0,2005,0
Odio,2014,2014,0,2005,9
Oh,2005,2005,0,2005,0
Oh Boy,2002,2002,0,2002,0
Oh Yeah!,2002,2002,0,2000,2
Okay,2005,2005,0,2005,0
Old Time's Sake,2009,2009,0,2004,5
On & On,1997,1997,0,1997,0
On A Sunday Afternoon,1992,1992,0,1992,0
One Less Lonely Girl,2009,2009,0,2009,0
One Love (People Get Ready),2010,2010,0,2010,0
One Mic,2002,2002,0,2002,0
One Minute Man,2001,2001,0,2001,0
One More Chance/Stay With Me,1995,1995,0,1995,0
One Sweet Day,1995,1995,0,1995,0
One Way Or Another (Teenage Kicks),2013,2013,0,2013,0
One Week,1998,1998,0,1998,0
One Woman Man,2001,2001,0,2001,0
Online,2007,2007,0,2007,0
Only,2014,2014,0,2014,0
Oochie Coochie,1992,1992,0,1992,0
Oochie Wally,2001,2001,0,2001,0
Ooh La La,1998,1998,0,1998,0
Oops (Oh My),2002,2002,0,2002,0
Otis,2011,2011,0,2011,0
Otis,2011,2011,0,2011,0
Out Here Grindin',2008,2008,0,2008,0
Overnight Celebrity,2004,2004,0,2004,0
Oye Mi Canto,2004,2004,0,2004,0
Oye Mi Canto (Hear My Voice),1990,1990,0,1990,0
P.I.M.P.,2003,2003,0,2003,0
Paper,1998,1998,0,1980,18
Paper Doll,1992,1992,0,1992,0
Paradise,2011,2011,0,2011,0
Paradise,2003,2003,0,2003,0
Paranoid,2014,2014,0,2014,0
Partition,2014,2014,0,2014,0
Party,2011,2011,0,1990,21
Party People,2008,2008,0,2008,0
Party Rock Anthem,2011,2011,0,2011,0
Party Rock Anthem,2011,2011,0,2011,0
Party Up (Up In Here),2000,2000,0,2000,0
Pass That Dutch,2003,2003,0,2003,0
Pass The Courvoisier Part II,2002,2002,0,2002,0
Peaches,1996,1996,0,1996,0
Peaches & Cream,2001,2001,0,2001,0
Penomenal,2015,2015,0,2013,2
People Are Still Having Sex,1991,1991,0,1991,0
Pimpin' All Over The World,2005,2005,0,2005,0
Play Something Country,2005,2005,0,2009,4
Playaz Club,1994,1994,0,1994,0
Player's Anthem,1995,1995,0,1995,0
Player's Ball,1994,1994,0,1994,0
Player's Ball,1994,1994,0,1994,0
Players Anthem,1995,1995,0,1995,0
Please Don't Go,1992,1992,0,1992,0
Po Pimp,1996,1996,0,1996,0
Po' Folks,2002,2002,0,2002,0
Poker Face,2010,2010,0,2009,1
Poker Face,2009,2009,0,2009,0
Pop Goes The Weasel,1991,1991,0,1991,0
Pop That,2012,2012,0,2012,0
Pound The Alarm,2012,2012,0,2012,0
Power,2010,2010,0,2010,0
Power,2010,2010,0,2010,0
Power Windows,1991,1991,0,1991,0
Prayin' For Daylight,2000,2000,0,2000,0
Pretty Wings,2009,2009,0,2009,0
Princess Of China,2011,2011,0,2010,1
Project Chick,2001,2001,0,2001,0
Pump It,2006,2006,0,2006,0
Pump It Up,2003,2003,0,2003,0
Pumps And A Bump,1994,1994,0,1994,0
Purple Hills,2001,2001,0,2001,0
Put On,2008,2008,0,2008,0
R.I.C.O.,2015,2015,0,2015,0
Rack City,2012,2012,0,2012,0
Rain,1998,1998,0,1998,0
Rain Over Me,2011,2011,0,2011,0
Raise The Roof,1998,1998,0,1998,0
Raise Up,2001,2001,0,2001,0
Rap God,2013,2013,0,2013,0
Rather Be,2014,2014,0,2014,0
Ray Of Light,1998,1998,0,1998,0
React,2002,2002,0,2002,0
Ready To Run,1999,1999,0,1980,19
Real World,1998,1998,0,1998,0
Rebirth Of Slick (Cool Like Dat),1993,1993,0,1993,0
Redneck Yacht Club,2005,2005,0,2005,0
Renegades,2015,2015,0,2015,0
Replay,2014,2014,0,2014,0
Request Line,1997,1997,0,1997,0
Rewind,2014,2014,0,2014,0
Rhythm Divine,2000,2000,0,2000,0
Rich As F**k,2013,2013,0,2013,0
Rico Suave,1991,1991,0,1991,0
Ride Wit Me,2001,2001,0,2001,0
Ridin',2006,2006,0,2006,0
Right Thurr,2003,2003,0,2003,0
Right Where I Need To Be,2001,2001,0,2001,0
