SONG,YEAR,VERBS,CONJUNCTION,ADJECTIVE,PRONOUN,NUMBER,NOUN,TO,PREPOSITION,ADVERB,INTERJECTION,OTHER,FOREIGN,INTERROGATIVE,SIMPLE NARC,COMPLEX NARC,,,
Empire State Of Mind,2010,90,9,30,62,7,268,11,85,36,0,78,2,10,10,5.161290323,,,
Empire State Of Mind,2009,101,9,46,57,6,243,10,76,34,3,76,0,11,10,5.087719298,,,
Empire Strikes Back (Medley),1980,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,,,
Empty Garden,1982,57,19,14,22,1,51,3,21,18,0,48,0,11,-3,-5.045454545,,,
Encore,2005,163,27,43,98,14,233,19,110,66,2,119,0,14,-9,-12.58163265,,,
End Of The Road,1992,110,12,13,107,0,57,31,48,69,1,45,0,6,17,9.53271028,,,
Endless Love,1981,36,6,8,46,4,53,3,14,10,3,23,0,1,5,1.739130435,,,
Endless Love,1994,28,6,14,36,4,44,3,15,15,5,15,0,1,8,3.111111111,,,
Endless Love,1994,42,6,13,49,4,57,3,14,16,4,20,0,1,7,2.285714286,,,
Endless Nights,1987,52,2,17,37,1,50,1,15,24,0,41,0,8,7,4.162162162,,,
Endless Summer Nights,1988,64,9,12,55,1,54,4,29,23,1,41,0,7,-2,-2.727272727,,,
Energy,2015,101,10,19,86,9,127,5,67,20,0,63,0,4,18,7.744186047,,,
Enjoy The Silence,1990,36,1,11,21,0,28,2,9,22,1,16,0,0,7,3,,,
Enough Cryin,2006,152,17,24,113,1,135,31,58,36,1,51,0,10,36,19.11504425,,,
Enough Is Enough,1982,55,16,12,51,4,60,6,26,36,3,22,0,0,8,5.647058824,,,
Enter Sandman,1991,40,5,13,39,3,65,16,17,17,0,20,0,1,12,4.923076923,,,
Epic,1990,32,10,10,47,0,23,1,23,17,0,30,0,2,0,0,,,
Erase Me,2010,94,8,16,93,0,79,5,39,28,1,46,0,6,12,4.64516129,,,
Erotica,1992,89,4,11,91,0,88,11,48,30,0,43,0,6,18,9.89010989,,,
Errtime,2005,137,13,59,102,0,202,14,81,32,3,84,0,17,15,7.352941176,,,
Escapade,1990,95,3,12,52,0,86,5,41,26,0,37,0,0,7,3.365384615,,,
Escape,2002,95,19,5,93,0,32,5,16,18,0,67,0,3,14,7.075268817,,,
Escape,1980,51,19,17,36,0,84,3,62,12,0,39,0,1,3,1.25,,,
Eternal Flame,1989,57,4,13,46,0,41,2,2,11,1,18,0,1,10,5.652173913,,,
Evacuate The Dancefloor,2009,102,6,22,43,0,148,8,55,20,0,76,0,0,18,9.209302326,,,
Even Better Than The Real Thing,1992,30,2,33,27,5,44,3,25,12,0,24,0,1,11,6.518518519,,,
Even If It Breaks Your Heart,2012,30,3,4,17,0,34,7,20,11,0,20,1,2,0,0,,,
Even It Up,1980,37,7,4,66,0,20,4,11,67,1,22,0,7,2,0.424242424,,,
Even Now,1983,24,8,17,46,1,48,4,26,41,0,33,0,6,15,5.543478261,,,
Even The Nights Are Better,1982,63,8,21,49,1,36,9,24,37,0,27,0,7,9,4.591836735,,,
Ever The Same,2006,49,13,11,62,0,35,5,37,30,0,25,0,0,25,16.53225806,,,
Everlasting Love,1995,87,0,18,66,0,67,5,19,27,0,32,0,4,14,7.212121212,,,
Everlasting Love,1989,38,4,14,20,1,46,2,24,7,0,27,0,1,0,0,,,
Everlasting Love,1981,39,0,6,24,0,30,4,12,20,0,18,0,4,5,2.916666667,,,
Every Breath You Take,1983,4,0,0,2,0,5,1,2,1,0,3,0,0,-1,-1.5,,,
Every Day,2008,35,10,9,33,1,38,4,12,15,0,30,0,3,10,4.848484848,,,
Every Day Of The Week,1995,105,0,12,81,0,174,6,64,38,7,77,0,22,5,2.345679012,,,
Every Girl,2009,165,44,46,181,2,196,7,94,45,0,139,0,6,-5,-8.756906077,,,
Every Heartbeat,1991,42,16,26,43,0,73,13,16,13,0,34,0,2,10,6.744186047,,,
Every Little Kiss,1987,33,6,21,28,6,55,4,25,27,2,44,0,20,2,0.428571429,,,
Every Little Step,1989,77,5,38,62,0,82,9,26,32,0,75,0,5,4,0.64516129,,,
Every Little Thing I Do,1995,66,2,42,144,0,80,1,59,16,0,53,0,3,45,25,,,
Every Little Thing She Does Is Magic,1981,4,0,0,2,0,5,1,2,1,0,3,0,0,-1,-1.5,,,
Every Mile A Memory,2006,13,3,15,14,0,81,1,21,14,0,51,0,3,6,3.857142857,,,
Every Morning,1999,55,7,9,49,1,76,4,15,27,0,56,0,8,8,2.285714286,,,
Every Other Time,2001,68,20,29,78,2,55,4,55,66,0,45,0,7,0,0,,,
Every Rose Has Its Thorn,1988,57,9,9,47,0,57,6,29,27,0,35,0,3,-2,-3.446808511,,,
Every Step Of The Way,1985,49,7,16,57,0,61,7,33,17,0,42,0,12,9,4.263157895,,,
Every Storm (Runs Out Of Rain),2013,51,4,9,16,0,53,2,43,22,0,29,0,3,-1,-1.5,,,
Every Teardrop Is A Waterfall,2011,47,7,7,24,2,61,3,26,9,8,50,0,0,8,4.666666667,,,
Every Time I Close My Eyes,1997,67,12,9,67,0,55,3,44,28,16,26,0,2,22,12.80597015,,,
Every Woman In The World,1981,27,6,8,41,0,72,15,38,10,5,36,0,3,21,14.85365854,,,
Everybody (Backstreet's Back),1998,28,1,7,41,0,86,0,6,25,5,11,0,1,1,0.243902439,,,
Everybody Dance,1986,26,4,11,15,0,34,1,17,12,0,12,0,1,0,0,,,
Everybody Everybody,1990,42,14,18,43,0,67,2,27,22,0,45,0,3,16,8.558139535,,,
Everybody Have Fun Tonight,1986,49,5,6,19,1,78,3,22,51,0,21,0,1,0,0,,,
Everybody Hurts,1993,42,5,9,16,0,35,2,18,24,0,22,0,5,0,0,,,
Everybody Plays The Fool,1991,66,4,5,36,0,67,8,18,24,1,39,0,3,0,0,,,
Everybody Talks,2012,38,4,9,29,0,57,3,11,10,1,27,0,6,11,5.689655172,,,
Everybody Wants To Go To Heaven,2008,67,12,10,30,5,57,19,16,11,0,21,0,1,5,2.5,,,
Everybody Wants To Rule The World,1985,37,2,7,18,1,36,9,13,15,1,20,0,3,3,1.666666667,,,
Everybody Wants You,1982,47,2,7,47,0,48,2,27,12,0,30,0,1,0,0,,,
Everybody's Free (To Feel Good),1992,29,4,18,12,1,21,13,6,15,0,13,0,3,0,0,,,
Everybody's Free (To Wear Sunscreen),1999,153,33,62,97,9,154,15,76,64,5,87,0,19,4,2.18556701,,,
Everybody's Got To Learn Sometime,1980,26,1,3,11,0,9,9,4,19,0,5,0,1,-2,-3.090909091,,,
Everyday,1994,72,12,17,51,0,40,12,16,33,0,35,0,5,0,0,,,
Everyday I Write The Book,1983,42,12,24,38,9,72,4,21,25,0,30,0,5,6,3,,,
Everyday Is A Winding Road,1997,77,2,32,17,0,81,3,11,9,0,43,0,4,1,0.058823529,,,
Everyday People,1983,29,11,29,16,7,42,2,25,18,0,26,0,3,1,0.375,,,
Everyotherday,1991,63,15,20,78,0,63,1,15,45,3,23,1,4,14,8.794871795,,,
Everything,1990,64,7,6,70,0,31,10,6,19,2,16,0,5,17,8.257142857,,,
Everything,1997,86,21,18,107,0,81,3,18,24,0,22,0,6,25,13.31775701,,,
Everything,2007,33,16,12,42,0,52,2,37,10,2,35,19,7,6,3.285714286,,,
Everything About You,1992,43,10,14,38,1,49,4,28,10,0,30,0,2,1,0.105263158,,,
Everything Changes,1992,61,6,20,30,0,73,2,31,22,0,33,0,9,8,4.266666667,,,
Everything Has Changed,2013,82,13,10,51,1,40,4,16,29,2,30,0,2,8,3.764705882,,,
Everything I Didn't Say,2014,85,6,14,49,3,46,5,39,20,0,54,0,1,4,1.06122449,,,
Everything I Need,1985,26,10,8,34,1,31,6,12,13,0,14,0,2,5,2.352941176,,,
Everything In My Heart,1986,42,10,8,48,0,35,8,23,23,0,5,0,3,13,8.395833333,,,
Everything Is Everything,1999,81,4,11,25,1,93,10,31,23,0,42,0,9,-2,-3.2,,,
Everything She Wants,1985,73,9,13,79,2,45,8,22,15,2,27,0,8,10,5.189873418,,,
Everything She Wants,1985,73,9,13,79,2,45,8,22,15,2,27,0,8,10,5.189873418,,,
Everything To Me,2010,31,2,8,48,1,35,9,19,8,3,15,0,0,11,5.5,,,
Everything Works If You Let It,1980,73,6,10,89,0,51,2,61,17,0,28,0,2,0,0,,,
Everything You Want,2000,74,20,9,61,0,49,8,43,27,0,33,0,12,0,0,,,
Everything Your Heart Desires,1988,64,2,12,47,1,38,3,21,28,1,25,0,9,4,2.042553191,,,
Everything's Gonna Be Alright,1993,109,12,27,51,4,159,11,59,35,2,59,0,7,8,1.882352941,,,
Everything's Gonna Be Alright,1998,129,8,29,73,4,82,6,39,51,0,48,0,6,4,2.02739726,,,
Everytime,2004,58,6,8,65,0,31,4,11,6,0,12,0,4,12,4.615384615,,,
Everytime Tha Beat Drop,2006,121,14,25,125,2,177,14,61,32,0,80,0,15,13,4.368,,,
Everytime We Touch,2006,57,7,7,76,0,40,5,16,11,0,22,0,3,7,3.868421053,,,
Everytime You Go Away,1985,39,6,7,45,0,43,2,29,21,1,30,0,2,5,2.444444444,,,
Everywhere,1988,50,3,6,51,0,24,3,17,19,8,12,0,2,5,1.960784314,,,
Everywhere,2001,52,9,8,81,0,30,6,19,51,0,26,0,11,17,7.975308642,,,
Ex's & Oh's,2015,80,15,6,71,1,61,12,35,21,5,36,0,3,20,11.54929577,,,
Ex-Factor,1999,75,8,19,51,0,41,15,24,24,0,36,0,9,5,2.254901961,,,
Exclusivity,1991,89,9,6,106,3,51,7,38,11,4,28,0,14,14,6.075471698,,,
Excuse Me Miss,2003,132,19,46,121,16,158,14,68,54,3,99,1,10,9,2.157024793,,,
Exhale (Shoop Shoop),1995,75,5,14,13,0,83,4,10,17,0,18,0,6,-1,-1.461538462,,,
Express Yourself,1989,100,12,26,83,1,75,18,25,37,0,18,1,14,0,0,,,
Expression,1990,102,29,18,66,0,128,10,40,29,21,44,0,9,19,10.65151515,,,
Eye In The Sky,1982,77,5,11,69,0,62,7,35,6,0,46,0,2,4,0.637681159,,,
Eye Of The Tiger,1982,27,8,10,25,0,71,10,38,18,0,56,0,0,-4,-6.24,,,
Eyes Open,2012,58,6,30,35,1,65,8,13,14,2,13,0,5,-2,-3.371428571,,,
Eyes Without A Face,1984,46,8,28,26,1,82,7,28,17,0,46,0,5,5,1.730769231,,,
F**k It (I Don't Want You Back),2004,57,1,6,57,1,45,0,19,65,64,38,2,7,17,10.43859649,,,
F**k You (Forget You),2011,87,19,21,73,1,151,4,73,37,0,48,0,0,10,2.602739726,,,
F**kin Problems,2013,142,26,71,127,1,178,23,74,27,1,79,0,4,19,6.133858268,,,
F**kin Problems,2012,142,26,71,127,1,178,23,74,27,1,79,0,4,19,6.133858268,,,
F**kin' Perfect,2011,57,5,21,43,0,37,2,21,25,0,24,0,5,3,1.813953488,,,
F**kin' Perfect,2011,56,6,32,38,0,54,6,28,49,2,29,0,4,5,3.421052632,,,
Fa All Y'all,1994,46,8,20,37,0,118,15,50,17,3,65,0,8,2,0.594594595,,,
Fabulous,2003,60,24,24,54,0,175,7,33,28,0,53,0,5,-15,-25.27777778,,,
Face Down,2007,70,3,7,56,5,47,6,27,28,0,35,0,6,6,3,,,
Face The Face,1986,119,2,5,51,1,99,44,17,2,0,94,0,6,-11,-18.98039216,,,
Face The Music,1991,65,17,6,50,0,31,4,18,24,0,39,0,4,0,0,,,
Facts Of Love,1987,42,1,14,24,0,74,2,33,29,2,39,0,1,11,5.5,,,
Fade Away,1981,52,9,12,41,1,29,4,22,24,6,27,0,10,1,0.43902439,,,
Fade Into You,1994,27,3,12,34,0,24,5,15,15,0,9,0,0,0,0,,,
Faded,2000,76,7,14,66,0,59,6,32,23,7,34,1,15,-5,-7.196969697,,,
Faded,2012,67,4,23,64,1,139,5,39,13,0,46,0,4,11,3.09375,,,
Faded Pictures,1999,69,5,28,37,0,85,9,39,14,0,43,0,8,3,0.567567568,,,
Fading Like A Flower (Every Time You Leave),1991,79,6,8,64,0,44,10,19,22,0,33,0,11,-2,-3.3125,,,
Faint,2003,83,10,10,66,0,62,7,28,36,0,40,0,6,8,2.181818182,,,
Fairweather Friend,1990,81,22,36,56,0,115,9,50,82,1,75,0,4,8,3.285714286,,,
Faith,1987,54,7,4,30,0,58,13,17,11,3,22,0,2,7,3.733333333,,,
Faithful,1993,60,6,21,70,0,63,14,31,8,2,46,0,2,16,10.74285714,,,
Faithfully,2010,21,6,8,16,1,56,4,18,15,71,24,0,2,3,1.875,,,
Faithfully,1983,23,5,6,17,1,35,4,18,17,1,15,0,2,2,1.176470588,,,
Fake,1987,41,9,19,45,0,64,2,26,11,1,41,0,6,2,0.444444444,,,
Fake Friends,1983,46,2,6,36,0,51,7,18,10,0,18,0,8,0,0,,,
Fall Down,1994,53,3,5,33,0,36,9,19,36,0,42,0,21,-14,-20.36363636,,,
Fall For You,2008,66,9,16,53,0,33,14,29,23,0,37,0,2,9,4.245283019,,,
Fall For Your Type,2011,85,15,26,80,2,108,9,58,24,1,49,0,11,10,3.5,,,
Fall In Love With Me,1983,52,4,9,62,0,48,6,51,14,4,32,0,4,10,5.64516129,,,
Fall Into Me,2003,51,10,12,39,0,17,8,22,24,1,16,0,2,13,9.333333333,,,
Fallen,2004,75,13,19,39,1,42,8,18,26,0,31,0,1,4,2.051282051,,,
Fallen Angel,1988,39,9,37,42,0,78,4,45,26,0,39,0,2,0,0,,,
Fallin',2001,30,7,3,40,0,40,0,40,18,1,10,0,2,4,1.9,,,
Fallin' For You,2009,87,13,7,83,0,52,12,43,22,2,28,0,10,14,6.746987952,,,
Falling,1996,76,14,6,69,1,65,3,29,32,1,24,0,3,18,10.95652174,,,
Falling In Love (Is Hard On The Knees),1997,73,14,46,48,2,87,5,54,38,1,46,1,7,8,4.166666667,,,
Falling In Love (Uh-Oh),1987,55,2,5,36,0,98,4,11,10,1,28,0,3,18,12.5,,,
Falls Apart,2000,56,14,13,36,0,59,3,11,33,0,23,0,5,3,1.25,,,
Falsetto,2008,49,4,26,57,0,131,5,64,47,4,67,0,1,6,1.578947368,,,
Fame,1980,73,7,12,44,0,64,9,27,19,0,21,0,6,18,9.818181818,,,
Family Affair,2001,114,10,34,78,1,116,12,79,57,0,51,0,1,13,5.333333333,,,
Family Man,1983,60,9,12,78,0,47,2,28,26,0,22,0,0,20,6.41025641,,,
Family Portrait,2003,157,9,35,103,1,152,13,46,84,5,56,0,4,-14,-21.74757282,,,
Fancy,2010,203,24,73,144,2,236,16,112,33,1,57,0,6,9,5.3125,,,
Fancy,2014,76,6,24,49,0,97,4,49,30,0,66,0,10,6,2.93877551,,,
Fantastic Voyage,1994,101,23,30,47,2,121,18,63,37,1,53,0,6,-2,-3.063829787,,,
Fantasy,1982,40,4,9,25,0,61,2,12,19,0,39,0,3,0,0,,,
Fantasy,1995,209,28,29,45,0,65,1,33,32,12,16,0,7,21,14.46666667,,,
Far Away,2006,83,8,7,60,5,19,8,23,51,0,15,0,2,6,2.6,,,
Far Behind,1994,82,22,15,85,0,33,8,25,54,13,31,0,9,5,2.823529412,,,
Far From Over,1983,25,5,2,27,0,21,0,17,12,0,8,0,0,7,1.814814815,,,
Farewell My Summer Love,1984,31,5,9,54,0,82,3,28,13,2,20,0,3,15,9.722222222,,,
Farmer's Daughter,2010,70,18,17,51,1,79,4,35,26,0,55,0,5,9,2.647058824,,,
Fascinated,1987,37,6,3,25,7,34,2,14,11,0,14,0,2,5,1.8,,,
Fascination Street,1989,33,9,4,24,0,44,5,33,11,1,10,0,2,1,0.333333333,,,
Fast Car,1988,4,0,0,2,0,5,1,2,1,0,3,0,0,-1,-1.5,,,
Fast Cars And Freedom,2005,46,12,17,41,0,84,3,26,22,2,31,0,3,7,3.585365854,,,
Fast Lane,2011,157,27,56,102,0,244,13,117,53,0,115,0,9,15,5,,,
Fastest Girl In Town,2012,46,5,15,28,1,54,5,28,8,0,34,0,2,2,0.785714286,,,
Fastlove,1996,68,3,11,47,0,85,15,35,36,8,45,0,3,9,4.021276596,,,
Father,1998,156,8,18,110,3,169,10,71,69,0,129,0,5,14,3.309090909,,,
Father Figure,1988,80,7,18,78,2,98,3,48,25,0,44,0,8,10,3.717948718,,,
Favorite Girl,2009,75,9,43,98,7,82,3,36,23,1,46,0,11,29,18.05102041,,,
Fearless,2008,53,20,20,59,1,44,3,44,21,0,29,0,9,16,8.406779661,,,
Feedback,2008,103,3,39,85,0,111,15,49,22,28,36,0,11,22,9.317647059,,,
Feel Again,2012,58,11,22,36,2,44,4,29,29,1,22,0,1,9,4.5,,,
Feel Good Inc,2005,42,3,12,32,0,84,1,29,9,0,25,0,3,1,0.40625,,,
Feel It Again,1986,59,2,8,50,1,37,14,21,36,0,30,0,3,3,0.54,,,
Feel It Boy,2002,82,25,26,78,6,100,3,42,29,4,50,0,8,19,11.69230769,,,
Feel Like A Number,1982,18,3,6,14,0,54,6,28,14,0,29,0,0,4,1.142857143,,,
Feel Like A Rock Star,2012,96,16,8,67,0,70,14,30,13,2,52,0,11,1,0.447761194,,,
Feel Me Flow,1995,110,25,23,69,2,156,7,91,49,0,42,1,6,-5,-7.31884058,,,
Feel So Close,2012,7,2,1,14,0,13,3,7,15,0,9,0,0,1,0.571428571,,,
Feel So Good,1997,132,8,57,116,2,162,17,66,41,0,73,0,10,20,10.34482759,,,
Feel That Fire,2009,66,8,11,38,0,64,21,26,14,0,30,0,2,2,0.105263158,,,
Feel The Funk,1995,37,7,6,22,0,55,10,18,10,2,28,0,0,3,1.227272727,,,
Feel This Moment,2013,59,14,13,31,2,93,2,23,20,2,41,0,3,0,0,,,
Feelin' On Yo Booty,2001,123,7,25,104,0,136,22,68,7,5,60,0,2,33,15.54807692,,,
Feelin' Way Too Damn Good,2004,79,15,26,66,5,43,8,38,65,0,35,0,6,5,2.196969697,,,
Feeling Myself,2015,99,12,37,82,2,208,0,87,28,1,79,0,8,21,9.475609756,,,
Feelings Of Forever,1988,43,4,2,29,1,24,9,22,25,0,33,0,4,0,0,,,
Feels Good,1990,56,1,31,57,1,28,14,26,14,2,16,0,2,7,3.561403509,,,
Feels Like Tonight,2008,60,16,2,48,1,22,9,29,20,0,23,0,6,3,0.875,,,
Feels So Good,1996,46,0,9,50,0,22,3,15,8,11,7,0,3,15,7.2,,,
Feels So Good,1989,43,5,30,24,0,50,2,29,37,7,16,0,5,5,1.666666667,,,
Feels So Good,1995,90,10,27,66,2,67,15,35,28,0,34,0,6,34,24.72727273,,,
Feels So Good (Show Me Your Love),1996,46,0,9,50,0,22,3,15,8,11,7,0,3,15,7.2,,,
Feels So Right,1981,29,6,10,26,1,17,2,5,26,1,4,0,0,17,12.42307692,,,
Feenin',1994,84,6,10,111,1,74,1,45,36,0,39,0,2,27,15.56756757,,,
Felt Good On My Lips,2010,64,9,35,59,1,54,4,34,12,12,30,0,10,13,3.966101695,,,
Fergalicious,2007,95,16,68,91,4,188,72,52,35,0,112,0,9,15,6.593406593,,,
Fields Of Gold,1993,4,0,0,2,0,5,1,2,1,0,3,0,0,-1,-1.5,,,
Fiesta,2001,99,19,41,76,5,192,12,82,36,0,91,0,7,6,3.710526316,,,
Fifteen,2009,85,25,21,62,12,60,9,32,21,0,34,0,15,-1,-1.435483871,,,
Fight Song,2015,55,12,14,41,3,85,0,34,29,1,43,0,2,18,10.09756098,,,
Fighter,2003,116,15,51,93,1,81,8,66,35,4,62,0,3,37,21.08602151,,,
Fill Me In,2001,126,8,26,79,5,87,19,52,23,0,57,0,11,11,6.962025316,,,
Finally,1992,67,11,15,98,1,64,14,44,73,15,33,0,1,29,11.54081633,,,
Finally Found You,2012,68,10,13,45,1,49,8,32,25,3,24,0,5,-1,-1.488888889,,,
Find A Way,1985,103,8,17,36,0,93,14,22,26,0,87,0,2,3,1.666666667,,,
Find Another Fool,1982,65,6,2,37,1,44,15,12,9,0,41,0,4,3,1.135135135,,,
Find Your Love,2010,63,4,7,81,0,51,3,14,42,3,22,0,1,1,0.185185185,,,
Find Your Way Back,1981,49,9,5,49,0,45,14,10,34,0,19,0,5,3,0.306122449,,,
Fine China,2013,37,6,10,32,0,41,2,15,14,4,19,0,3,7,2.40625,,,
Finish What Ya Started,1988,47,2,7,20,2,35,8,25,6,0,23,0,4,2,1,,,
Fire,1987,32,5,1,36,0,31,0,8,8,0,13,0,3,0,0,,,
Fire And Ice,1981,47,12,11,43,0,58,1,21,17,0,30,0,2,7,4.069767442,,,
Fire Burning,2009,89,5,35,39,5,160,7,61,15,1,76,0,1,10,3.58974359,,,
Fire In The Morning,1980,56,19,18,33,0,72,7,23,21,0,44,0,2,-7,-10.81818182,,,
Fire Lake,1980,44,7,8,11,2,43,16,14,10,2,18,0,10,0,0,,,
Fire Woman,1989,44,5,13,26,0,88,9,20,18,2,24,0,1,4,1.076923077,,,
Fireball,2014,52,9,13,40,0,108,1,41,12,1,27,0,1,1,0.1,,,
Firecracker,2007,47,9,25,41,2,83,7,45,14,0,58,0,6,5,1.219512195,,,
Fireflies,2009,69,5,18,45,7,57,14,38,45,0,21,0,12,15,6,,,
Fireman,2005,97,30,25,91,1,163,8,57,36,0,61,0,6,15,4.945054945,,,
Firestarter,1997,19,0,3,3,3,44,0,16,3,1,15,0,0,0,0,,,
Firework,2011,79,5,20,37,2,86,6,36,37,0,47,0,7,0,0,,,
Firework,2010,84,5,12,39,3,74,6,38,24,6,45,0,7,0,0,,,
First Time,2007,43,1,24,30,0,47,12,57,20,0,19,0,3,8,3.733333333,,,
First Time Love,1980,40,7,14,33,1,44,2,20,18,0,20,0,4,0,0,,,
Fishnet,1988,60,2,15,32,0,84,7,27,15,0,40,0,4,3,0.84375,,,
Flames Of Paradise,1987,42,3,8,35,3,52,2,25,18,1,18,0,3,10,4.857142857,,,
Flash's Theme,1981,19,5,12,11,5,65,2,20,11,5,27,0,2,-5,-6.818181818,,,
Flashdance...What A Feeling,1983,40,3,12,41,0,71,1,23,10,0,31,0,10,7,1.195121951,,,
Flashing Lights,2008,76,12,10,53,0,79,7,43,16,1,42,0,7,7,2.641509434,,,
Flava In Ya Ear,1994,81,11,56,79,1,251,6,119,32,0,81,0,3,5,0.886075949,,,
Flavor Of The Weak,2001,40,8,9,40,1,44,4,20,17,0,27,0,0,1,0.025,,,
Flesh For Fantasy,1984,22,4,3,18,0,58,6,17,4,4,5,0,0,0,0,,,
Flex,1993,109,4,53,58,1,146,24,35,26,0,43,1,16,9,1.551724138,,,
Flex (Ooh Ooh Ooh),2015,109,12,18,94,17,135,3,62,36,1,56,0,6,12,3.70212766,,,
Flirtin' With Disaster,1980,54,4,15,46,0,86,13,32,14,0,41,0,11,-14,-20.08695652,,,
Floatin' On Your Love,1996,40,8,16,49,0,74,6,43,7,0,25,0,1,8,2.612244898,,,
Flood,1996,57,10,8,50,4,49,3,33,14,0,30,0,4,36,26.64,,,
Flowers On The Wall,2000,39,9,10,31,3,67,10,32,23,0,25,0,0,14,6.774193548,,,
Fly,2011,112,9,20,57,1,53,46,31,18,0,32,0,7,10,4.035087719,,,
Fly Away,1981,33,2,4,19,0,43,3,21,15,0,25,0,3,-2,-2.842105263,,,
Fly Away,1999,64,4,14,38,1,38,29,15,40,4,14,0,2,-1,-1.868421053,,,
Fly High Michelle,1990,45,2,33,33,1,42,4,14,49,0,18,1,4,-2,-3.393939394,,,
Fly Like An Eagle,1997,56,3,10,19,0,81,7,35,17,11,62,0,1,3,0.631578947,,,
Fly Over States,2012,29,10,11,13,3,94,1,38,7,0,31,0,6,1,0.307692308,,,
Fly To The Angels,1990,44,10,14,36,0,62,12,21,26,5,31,0,1,2,0.5,,,
Flying Without Wings,2003,48,7,14,36,1,44,4,33,5,1,35,0,8,3,1.25,,,
Focus,2015,61,9,25,61,2,64,5,74,21,0,26,0,9,20,14.42622951,,,
Foe Tha Love Of $,1995,132,42,50,90,11,251,15,111,50,0,142,1,11,33,17.6,,,
Follow Me,2001,82,14,7,62,6,45,13,43,31,0,41,0,7,6,3.193548387,,,
Follow You Down/Til I Hear It From You,1996,58,13,7,41,1,37,0,22,36,0,37,0,4,-1,-1.585365854,,,
Fool For Your Loving,1989,52,4,29,45,0,48,7,27,23,1,48,0,2,6,1.333333333,,,
Fool In Love With You,1981,37,1,2,39,0,35,3,30,10,1,15,0,7,2,0.820512821,,,
Fool In The Rain,1980,4,0,0,2,0,5,1,2,1,0,3,0,0,-1,-1.5,,,
Fool Moon Fire,1983,34,3,12,29,0,44,2,18,11,0,29,0,4,7,2.655172414,,,
Fool That I Am,1981,26,4,6,24,2,12,1,19,12,0,19,0,7,2,0.333333333,,,
Foolin',1983,41,9,8,26,0,38,1,17,31,0,15,4,3,5,3.269230769,,,
Foolin' Around,1995,37,1,8,21,1,37,6,24,17,6,22,1,1,5,3.095238095,,,
Foolish,2002,97,26,23,113,0,84,13,57,28,0,33,0,10,31,20.30088496,,,
Foolish Beat,1988,42,4,8,34,2,34,3,16,28,0,31,0,7,4,1.882352941,,,
Foolish Games/You Were Meant For Me,1997,4,0,0,2,0,5,1,2,1,0,3,0,0,-1,-1.5,,,
Foolish Heart,1985,46,1,16,20,0,40,1,21,15,0,13,0,1,8,4.4,,,
Foolish Pride,1986,44,7,7,25,0,36,1,13,7,1,26,0,8,4,1.6,,,
Footloose,1984,54,3,12,36,1,71,3,25,19,0,24,0,2,8,4,,,
For A Little While,1999,44,18,14,44,0,44,7,32,17,3,22,0,1,4,0.909090909,,,
For A Rocker,1984,52,7,9,21,2,79,7,36,22,0,45,0,2,-2,-2.857142857,,,
For America,1986,71,13,17,43,0,61,6,52,13,0,36,0,9,3,0.697674419,,,
For The First Time,2011,48,10,24,30,0,64,7,29,15,0,33,0,8,-5,-7.333333333,,,
For Tonight,1986,30,4,11,28,1,26,4,11,10,0,18,0,5,2,0.714285714,,,
For You,1997,55,16,6,45,2,52,3,36,12,0,40,0,2,4,2.044444444,,,
For You,1991,37,0,9,40,3,32,0,19,12,0,16,0,0,3,1.35,,,
For You I Will,1999,23,9,5,18,0,28,6,24,10,0,19,0,0,3,1.333333333,,,
For You I Will,1997,62,8,6,101,1,72,3,41,21,1,76,0,2,4,1.306930693,,,
For You I Will (Confidence),2006,48,8,8,56,1,64,8,49,8,0,44,0,7,2,0.75,,,
For Your Eyes Only,1981,22,1,6,37,0,25,3,35,21,0,18,0,3,7,3.216216216,,,
Forever,2008,59,15,13,62,11,111,3,38,21,6,37,0,7,11,6.919354839,,,
Forever,2009,210,31,44,146,7,236,23,123,77,2,155,0,13,27,10.54109589,,,
Forever,1985,40,7,6,24,0,20,8,24,17,0,10,0,4,7,4.666666667,,,
Forever,1990,50,10,8,53,0,50,2,39,9,1,25,0,4,16,8.150943396,,,
Forever & Always,2009,83,30,16,85,1,37,9,35,70,4,27,0,18,3,1.2,,,
Forever And For Always,2003,33,6,1,39,0,41,1,26,23,0,35,0,7,8,4.102564103,,,
Forever In Love,1993,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,,,
Forever Love,1992,79,5,6,78,1,50,10,44,54,1,48,0,1,4,2.307692308,,,
Forever Man,1985,27,0,19,24,0,24,9,6,16,0,21,0,8,2,0.666666667,,,
Forever Mine,1980,96,8,25,78,1,90,4,63,27,2,39,1,16,-3,-4.423076923,,,
Forever My Lady,1991,60,16,15,72,0,55,3,30,41,2,35,0,6,11,5.652777778,,,
Forever Young,1988,24,14,21,20,0,27,3,19,19,1,19,0,3,2,0.9,,,
Forever Your Girl,1989,91,13,4,94,0,75,7,38,51,1,44,0,3,11,3.978723404,,,
Forget Me Not,1989,87,7,9,102,1,40,10,15,49,9,29,0,5,36,22.58823529,,,
Forget Me Nots,1982,80,4,8,66,0,32,20,7,31,0,16,0,2,14,9.96969697,,,
Forget You,2010,78,20,15,76,1,129,4,71,39,0,47,0,1,9,2.960526316,,,
